EPISODE	TIME_STEP_TOTAL	TRAIN_LOSS_ACTOR	TRAIN_LOSS_CRITIC
0	11	[ 0.20807232]	[ 0.13425329]
100	2037	[-11.69140911]	[ 241.04740906]
200	4613	[-7.68434906]	[ 235.09341431]
300	9533	[-48.16473007]	[ 577.36853027]
400	20224	[-31.22368813]	[ 5231.26953125]
500	32860	[-3.25691223]	[ 1082.85522461]
600	46405	[-6.33033943]	[ 3706.12597656]
700	62438	[-17.97712326]	[ 721.94415283]
800	76783	[-8.88143826]	[ 5235.72900391]
900	89554	[-8.72648048]	[ 1981.87756348]
1000	106268	[-13.01418877]	[ 279.78460693]
1100	123211	[-29.94461632]	[ 5385.88134766]
1200	136993	[-9.54948425]	[ 141.05870056]
1300	154512	[-7.03414297]	[ 154.29449463]
1400	169382	[-0.29510659]	[ 141.4967041]
1500	186783	[-6.32060194]	[ 877.42816162]
1600	204421	[-53.64112091]	[ 3103.97460938]
1700	219288	[-0.42752385]	[ 43.3415184]
1800	233520	[-18.85491562]	[ 2829.98632812]
1900	248680	[-19.80469131]	[ 252.14305115]
2000	266729	[-78.1151123]	[ 2063.83154297]
2100	284205	[-6.23741341]	[ 2526.3671875]
2200	303847	[-5.44022512]	[ 82.98465729]
2300	313692	[-3.63599682]	[ 74.77129364]
2400	321485	[-76.29689789]	[ 82958.484375]
2500	338987	[-0.05364041]	[ 6.94688559]
2600	356146	[-2.99105072]	[ 63.79561996]
2700	372961	[-1.30913293]	[ 26.78956604]
2800	387857	[-2.33028054]	[ 126.97087097]
2900	405496	[-1.06651258]	[ 2457.31152344]
3000	420435	[-25.45192337]	[ 11333.07226562]
3100	432882	[-137.20309448]	[ 6121.24316406]
3200	442875	[-12.7118969]	[ 21.44250107]
3300	448153	[-0.07212998]	[ 23.92096901]
3400	459466	[-11.4529438]	[ 6695.69482422]
3500	469709	[-0.3353942]	[ 2.23966432]
3600	478907	[-6.65657187]	[ 468.30310059]
3700	493770	[-2.10210752]	[ 167.36230469]
3800	508182	[-1.13127601]	[ 7.22092104]
3900	520627	[-2.21096826]	[ 298.97314453]
4000	534530	[-425.7956543]	[ 95031.9140625]
4100	552940	[-10.20809364]	[ 24321.078125]
4200	570677	[-15.63830757]	[ 1561.97851562]
4300	586898	[-10.09460258]	[ 684.5927124]
4400	603494	[-0.06004237]	[ 450.71362305]
4500	622082	[-3.8762362]	[ 70.21967316]
4600	637773	[-79.17803955]	[ 3052.55737305]
4700	653079	[-1.68919861]	[ 6.86522913]
4800	665969	[-0.04309136]	[ 2.25393128]
4900	677211	[-5.99737835]	[ 55603.453125]
