EPISODE	TIME_STEP_TOTAL	REWARD_TOTAL
0	12	12.0
1	15	15.0
2	13	13.0
3	13	13.0
4	14	14.0
5	44	44.0
6	13	13.0
7	49	49.0
8	45	45.0
9	11	11.0
10	17	17.0
11	31	31.0
12	11	11.0
13	19	19.0
14	14	14.0
15	13	13.0
16	17	17.0
17	12	12.0
18	22	22.0
19	19	19.0
20	15	15.0
21	26	26.0
22	17	17.0
23	12	12.0
24	17	17.0
25	17	17.0
26	18	18.0
27	27	27.0
28	15	15.0
29	30	30.0
30	14	14.0
31	21	21.0
32	12	12.0
33	17	17.0
34	14	14.0
35	30	30.0
36	14	14.0
37	14	14.0
38	24	24.0
39	18	18.0
40	25	25.0
41	23	23.0
42	18	18.0
43	14	14.0
44	36	36.0
45	9	9.0
46	14	14.0
47	18	18.0
48	19	19.0
49	9	9.0
50	23	23.0
51	17	17.0
52	26	26.0
53	14	14.0
54	47	47.0
55	18	18.0
56	12	12.0
57	9	9.0
58	26	26.0
59	30	30.0
60	32	32.0
61	58	58.0
62	36	36.0
63	15	15.0
64	13	13.0
65	16	16.0
66	23	23.0
67	10	10.0
68	27	27.0
69	9	9.0
70	14	14.0
71	25	25.0
72	27	27.0
73	13	13.0
74	51	51.0
75	25	25.0
76	9	9.0
77	22	22.0
78	25	25.0
79	16	16.0
80	12	12.0
81	12	12.0
82	47	47.0
83	18	18.0
84	21	21.0
85	54	54.0
86	12	12.0
87	29	29.0
88	17	17.0
89	11	11.0
90	48	48.0
91	15	15.0
92	33	33.0
93	20	20.0
94	17	17.0
95	12	12.0
96	18	18.0
97	26	26.0
98	18	18.0
99	11	11.0
100	38	38.0
101	27	27.0
102	23	23.0
103	10	10.0
104	51	51.0
105	15	15.0
106	40	40.0
107	14	14.0
108	17	17.0
109	30	30.0
110	18	18.0
111	33	33.0
112	11	11.0
113	64	64.0
114	25	25.0
115	16	16.0
116	11	11.0
117	16	16.0
118	17	17.0
119	48	48.0
120	10	10.0
121	15	15.0
122	46	46.0
123	34	34.0
124	16	16.0
125	14	14.0
126	15	15.0
127	22	22.0
128	18	18.0
129	27	27.0
130	21	21.0
131	14	14.0
132	22	22.0
133	23	23.0
134	30	30.0
135	15	15.0
136	16	16.0
137	35	35.0
138	13	13.0
139	13	13.0
140	12	12.0
141	54	54.0
142	17	17.0
143	8	8.0
144	22	22.0
145	31	31.0
146	19	19.0
147	17	17.0
148	15	15.0
149	24	24.0
150	43	43.0
151	59	59.0
152	23	23.0
153	37	37.0
154	37	37.0
155	32	32.0
156	45	45.0
157	37	37.0
158	52	52.0
159	23	23.0
160	22	22.0
161	56	56.0
162	22	22.0
163	19	19.0
164	19	19.0
165	63	63.0
166	22	22.0
167	22	22.0
168	16	16.0
169	24	24.0
170	39	39.0
171	23	23.0
172	41	41.0
173	10	10.0
174	28	28.0
175	20	20.0
176	18	18.0
177	10	10.0
178	21	21.0
179	26	26.0
180	60	60.0
181	39	39.0
182	28	28.0
183	36	36.0
184	23	23.0
185	82	82.0
186	24	24.0
187	34	34.0
188	18	18.0
189	43	43.0
190	26	26.0
191	19	19.0
192	27	27.0
193	35	35.0
194	23	23.0
195	22	22.0
196	19	19.0
197	20	20.0
198	19	19.0
199	14	14.0
200	32	32.0
201	19	19.0
202	37	37.0
203	17	17.0
204	43	43.0
205	15	15.0
206	24	24.0
207	22	22.0
208	10	10.0
209	14	14.0
210	47	47.0
211	30	30.0
212	53	53.0
213	15	15.0
214	28	28.0
215	50	50.0
216	30	30.0
217	13	13.0
218	37	37.0
219	22	22.0
220	78	78.0
221	39	39.0
222	29	29.0
223	38	38.0
224	20	20.0
225	16	16.0
226	61	61.0
227	24	24.0
228	98	98.0
229	113	113.0
230	21	21.0
231	32	32.0
232	34	34.0
233	24	24.0
234	30	30.0
235	51	51.0
236	28	28.0
237	69	69.0
238	87	87.0
239	30	30.0
240	20	20.0
241	54	54.0
242	79	79.0
243	135	135.0
244	52	52.0
245	79	79.0
246	32	32.0
247	87	87.0
248	58	58.0
249	48	48.0
250	51	51.0
251	56	56.0
252	47	47.0
253	53	53.0
254	110	110.0
255	60	60.0
256	41	41.0
257	36	36.0
258	102	102.0
259	30	30.0
260	84	84.0
261	41	41.0
262	27	27.0
263	39	39.0
264	30	30.0
265	37	37.0
266	67	67.0
267	42	42.0
268	44	44.0
269	95	95.0
270	79	79.0
271	22	22.0
272	61	61.0
273	60	60.0
274	67	67.0
275	70	70.0
276	23	23.0
277	100	100.0
278	82	82.0
279	105	105.0
280	64	64.0
281	54	54.0
282	149	149.0
283	62	62.0
284	92	92.0
285	18	18.0
286	16	16.0
287	58	58.0
288	63	63.0
289	119	119.0
290	17	17.0
291	88	88.0
292	73	73.0
293	23	23.0
294	37	37.0
295	39	39.0
296	63	63.0
297	16	16.0
298	29	29.0
299	39	39.0
300	48	48.0
301	68	68.0
302	59	59.0
303	110	110.0
304	95	95.0
305	26	26.0
306	34	34.0
307	53	53.0
308	29	29.0
309	31	31.0
310	33	33.0
311	63	63.0
312	28	28.0
313	95	95.0
314	51	51.0
315	51	51.0
316	79	79.0
317	89	89.0
318	99	99.0
319	56	56.0
320	102	102.0
321	59	59.0
322	90	90.0
323	138	138.0
324	46	46.0
325	59	59.0
326	28	28.0
327	185	185.0
328	50	50.0
329	57	57.0
330	28	28.0
331	61	61.0
332	28	28.0
333	35	35.0
334	43	43.0
335	60	60.0
336	25	25.0
337	39	39.0
338	35	35.0
339	145	145.0
340	78	78.0
341	116	116.0
342	73	73.0
343	60	60.0
344	59	59.0
345	52	52.0
346	90	90.0
347	102	102.0
348	200	200.0
349	72	72.0
350	49	49.0
351	127	127.0
352	200	200.0
353	149	149.0
354	33	33.0
355	109	109.0
356	157	157.0
357	114	114.0
358	47	47.0
359	200	200.0
360	200	200.0
361	149	149.0
362	200	200.0
363	145	145.0
364	134	134.0
365	94	94.0
366	54	54.0
367	117	117.0
368	117	117.0
369	143	143.0
370	200	200.0
371	125	125.0
372	160	160.0
373	102	102.0
374	143	143.0
375	191	191.0
376	46	46.0
377	48	48.0
378	137	137.0
379	42	42.0
380	200	200.0
381	200	200.0
382	200	200.0
383	181	181.0
384	200	200.0
385	200	200.0
386	173	173.0
387	115	115.0
388	200	200.0
389	192	192.0
390	200	200.0
391	151	151.0
392	200	200.0
393	200	200.0
394	200	200.0
395	105	105.0
396	18	18.0
397	200	200.0
398	160	160.0
399	200	200.0
400	200	200.0
401	63	63.0
402	200	200.0
403	200	200.0
404	172	172.0
405	200	200.0
406	200	200.0
407	200	200.0
408	200	200.0
409	200	200.0
410	200	200.0
411	200	200.0
412	200	200.0
413	200	200.0
414	200	200.0
415	200	200.0
416	200	200.0
417	200	200.0
418	200	200.0
419	200	200.0
420	200	200.0
421	200	200.0
422	159	159.0
423	200	200.0
424	200	200.0
425	200	200.0
426	200	200.0
427	200	200.0
428	200	200.0
429	200	200.0
430	191	191.0
431	200	200.0
432	143	143.0
433	18	18.0
434	135	135.0
435	122	122.0
436	147	147.0
437	134	134.0
438	17	17.0
439	22	22.0
440	12	12.0
441	16	16.0
442	13	13.0
443	12	12.0
444	13	13.0
445	104	104.0
446	140	140.0
447	200	200.0
448	200	200.0
449	56	56.0
450	200	200.0
451	200	200.0
452	200	200.0
453	200	200.0
454	200	200.0
455	200	200.0
456	200	200.0
457	200	200.0
458	166	166.0
459	117	117.0
460	96	96.0
461	15	15.0
462	23	23.0
463	14	14.0
464	17	17.0
465	19	19.0
466	18	18.0
467	26	26.0
468	18	18.0
469	17	17.0
470	14	14.0
471	20	20.0
472	11	11.0
473	32	32.0
474	32	32.0
475	22	22.0
476	108	108.0
477	200	200.0
478	200	200.0
479	200	200.0
480	200	200.0
481	171	171.0
482	200	200.0
483	200	200.0
484	200	200.0
485	200	200.0
486	200	200.0
487	200	200.0
488	200	200.0
489	164	164.0
490	114	114.0
491	29	29.0
492	18	18.0
493	19	19.0
494	19	19.0
495	19	19.0
496	16	16.0
497	13	13.0
498	18	18.0
499	29	29.0
500	33	33.0
501	22	22.0
502	133	133.0
503	27	27.0
504	197	197.0
505	200	200.0
506	200	200.0
507	200	200.0
508	200	200.0
509	200	200.0
510	167	167.0
511	183	183.0
512	159	159.0
513	107	107.0
514	35	35.0
515	31	31.0
516	61	61.0
517	99	99.0
518	111	111.0
519	22	22.0
520	114	114.0
521	115	115.0
522	104	104.0
523	116	116.0
524	131	131.0
525	112	112.0
526	30	30.0
527	128	128.0
528	138	138.0
529	140	140.0
530	132	132.0
531	145	145.0
532	136	136.0
533	162	162.0
534	162	162.0
535	157	157.0
536	153	153.0
537	135	135.0
538	132	132.0
539	110	110.0
540	102	102.0
541	22	22.0
542	38	38.0
543	115	115.0
544	21	21.0
545	175	175.0
546	200	200.0
547	200	200.0
548	200	200.0
549	200	200.0
550	200	200.0
551	200	200.0
552	200	200.0
553	200	200.0
554	200	200.0
555	200	200.0
556	200	200.0
557	200	200.0
558	200	200.0
559	200	200.0
560	200	200.0
561	200	200.0
562	200	200.0
563	200	200.0
564	200	200.0
565	200	200.0
566	200	200.0
567	200	200.0
568	200	200.0
569	200	200.0
570	30	30.0
571	121	121.0
572	28	28.0
573	36	36.0
574	30	30.0
575	36	36.0
576	27	27.0
577	18	18.0
578	16	16.0
579	23	23.0
580	24	24.0
581	17	17.0
582	102	102.0
583	55	55.0
584	118	118.0
