EPISODE	TIME_STEPS_TAKEN	TOTAL_REWARD
0	34.0	34
1	31.0	31
2	16.0	16
3	64.0	64
4	23.0	23
5	22.0	22
6	121.0	121
7	25.0	25
8	51.0	51
9	41.0	41
10	34.0	34
11	95.0	95
12	28.0	28
13	66.0	66
14	114.0	114
15	25.0	25
16	14.0	14
17	19.0	19
18	37.0	37
19	36.0	36
20	20.0	20
21	28.0	28
22	16.0	16
23	42.0	42
24	145.0	145
25	46.0	46
26	77.0	77
27	47.0	47
28	34.0	34
29	74.0	74
30	146.0	146
31	129.0	129
32	29.0	29
33	23.0	23
34	27.0	27
35	75.0	75
36	100.0	100
37	91.0	91
38	12.0	12
39	12.0	12
40	10.0	10
41	10.0	10
42	10.0	10
43	16.0	16
44	9.0	9
45	15.0	15
46	10.0	10
47	14.0	14
48	9.0	9
49	16.0	16
50	13.0	13
51	17.0	17
52	50.0	50
53	17.0	17
54	20.0	20
55	9.0	9
56	16.0	16
57	13.0	13
58	17.0	17
59	11.0	11
60	10.0	10
61	11.0	11
62	15.0	15
63	17.0	17
64	13.0	13
65	11.0	11
66	9.0	9
67	9.0	9
68	10.0	10
69	14.0	14
70	11.0	11
71	10.0	10
72	20.0	20
73	11.0	11
74	9.0	9
75	12.0	12
76	11.0	11
77	13.0	13
78	10.0	10
79	10.0	10
80	12.0	12
81	10.0	10
82	11.0	11
83	13.0	13
84	12.0	12
85	13.0	13
86	16.0	16
87	15.0	15
88	25.0	25
89	45.0	45
90	71.0	71
91	42.0	42
92	125.0	125
93	75.0	75
94	77.0	77
95	97.0	97
96	29.0	29
97	200.0	200
98	200.0	200
99	200.0	200
100	200.0	200
101	200.0	200
102	200.0	200
103	200.0	200
104	200.0	200
105	81.0	81
106	200.0	200
107	200.0	200
108	200.0	200
109	200.0	200
110	200.0	200
111	200.0	200
112	200.0	200
113	200.0	200
114	200.0	200
115	200.0	200
116	200.0	200
117	200.0	200
118	200.0	200
119	200.0	200
120	200.0	200
121	200.0	200
122	200.0	200
123	184.0	184
124	200.0	200
125	200.0	200
126	200.0	200
127	200.0	200
128	200.0	200
129	200.0	200
130	200.0	200
131	200.0	200
132	200.0	200
133	200.0	200
134	200.0	200
135	200.0	200
136	200.0	200
137	200.0	200
138	104.0	104
139	11.0	11
140	10.0	10
141	45.0	45
142	200.0	200
143	200.0	200
144	200.0	200
145	174.0	174
146	168.0	168
147	154.0	154
148	173.0	173
149	148.0	148
150	200.0	200
151	151.0	151
152	200.0	200
153	200.0	200
154	200.0	200
155	168.0	168
156	200.0	200
157	200.0	200
158	200.0	200
159	200.0	200
160	196.0	196
161	69.0	69
162	10.0	10
163	10.0	10
164	10.0	10
165	123.0	123
166	153.0	153
167	200.0	200
168	200.0	200
169	200.0	200
170	200.0	200
171	200.0	200
172	200.0	200
173	200.0	200
174	200.0	200
175	155.0	155
176	116.0	116
177	138.0	138
178	147.0	147
179	200.0	200
180	200.0	200
181	179.0	179
182	200.0	200
183	200.0	200
184	200.0	200
185	200.0	200
186	200.0	200
187	163.0	163
188	190.0	190
189	200.0	200
190	200.0	200
191	200.0	200
192	200.0	200
193	200.0	200
194	200.0	200
195	200.0	200
196	200.0	200
197	200.0	200
198	200.0	200
199	200.0	200
200	200.0	200
201	200.0	200
202	200.0	200
203	200.0	200
204	200.0	200
205	200.0	200
206	200.0	200
207	200.0	200
208	200.0	200
209	200.0	200
210	200.0	200
211	200.0	200
212	200.0	200
213	200.0	200
214	200.0	200
215	200.0	200
216	200.0	200
217	200.0	200
218	200.0	200
219	200.0	200
220	200.0	200
221	200.0	200
222	200.0	200
223	200.0	200
224	200.0	200
225	200.0	200
226	200.0	200
227	200.0	200
228	200.0	200
229	200.0	200
230	200.0	200
231	200.0	200
232	200.0	200
233	200.0	200
234	200.0	200
235	200.0	200
236	200.0	200
237	200.0	200
238	200.0	200
239	200.0	200
240	178.0	178
241	200.0	200
242	200.0	200
243	200.0	200
244	158.0	158
245	162.0	162
246	10.0	10
247	10.0	10
248	10.0	10
249	9.0	9
250	116.0	116
251	196.0	196
252	200.0	200
253	200.0	200
254	200.0	200
255	200.0	200
256	200.0	200
257	200.0	200
258	200.0	200
259	179.0	179
260	200.0	200
261	200.0	200
262	200.0	200
263	189.0	189
264	200.0	200
265	200.0	200
266	200.0	200
267	185.0	185
268	165.0	165
269	167.0	167
270	138.0	138
271	120.0	120
272	121.0	121
273	145.0	145
274	200.0	200
275	51.0	51
276	10.0	10
277	9.0	9
278	9.0	9
279	10.0	10
280	9.0	9
281	10.0	10
282	9.0	9
283	9.0	9
284	9.0	9
285	47.0	47
286	15.0	15
287	18.0	18
288	14.0	14
289	19.0	19
290	27.0	27
291	27.0	27
292	60.0	60
293	121.0	121
294	200.0	200
295	200.0	200
296	200.0	200
297	200.0	200
298	200.0	200
299	200.0	200
300	195.0	195
301	189.0	189
302	177.0	177
303	200.0	200
304	200.0	200
305	200.0	200
306	200.0	200
307	200.0	200
308	200.0	200
309	200.0	200
310	200.0	200
311	200.0	200
312	200.0	200
313	200.0	200
314	200.0	200
315	200.0	200
316	200.0	200
317	200.0	200
318	200.0	200
319	200.0	200
320	200.0	200
321	200.0	200
322	200.0	200
323	200.0	200
324	200.0	200
325	200.0	200
326	200.0	200
327	200.0	200
328	183.0	183
329	189.0	189
330	192.0	192
331	183.0	183
332	175.0	175
333	200.0	200
334	200.0	200
335	200.0	200
336	192.0	192
337	200.0	200
338	173.0	173
339	198.0	198
340	54.0	54
341	200.0	200
342	200.0	200
343	200.0	200
344	200.0	200
345	200.0	200
346	200.0	200
347	200.0	200
348	200.0	200
349	200.0	200
350	200.0	200
351	200.0	200
352	200.0	200
353	200.0	200
354	200.0	200
355	200.0	200
356	200.0	200
357	200.0	200
358	200.0	200
359	200.0	200
360	200.0	200
361	200.0	200
362	200.0	200
363	200.0	200
364	200.0	200
365	200.0	200
366	200.0	200
367	200.0	200
368	200.0	200
369	200.0	200
370	200.0	200
371	200.0	200
372	200.0	200
373	200.0	200
374	200.0	200
375	200.0	200
376	200.0	200
377	200.0	200
378	200.0	200
379	200.0	200
380	200.0	200
