TIME_STEP	STAGE	EPSILON	ACTION	REWARD	Qs_PREDICTED_EXAMPLE	Qs_TARGET_EXAMPLE	Loss
0	DELAY	0.5	1	1.0	NA	NA	NA
500	DELAY	0.5	1	1.0	NA	NA	NA
1000	DELAY	0.5	1	1.0	NA	NA	NA
1500	DELAY	0.5	1	1.0	NA	NA	NA
2000	EXPLORATION	0.49995001	0	1.0	NA	NA	NA
2500	EXPLORATION	0.47495501	1	1.0	[ 24.75186539  21.81282234]	[  1.          21.81282234]	9.96791
3000	EXPLORATION	0.44996001	0	1.0	[ 17.13509941  16.15741539]	[ 17.13509941  16.88863258]	0.505754
3500	EXPLORATION	0.42496501	0	1.0	[ 22.77015305  22.2488308 ]	[ 22.70099173  22.2488308 ]	1.17377
4000	EXPLORATION	0.39997001	0	1.0	[ 8.71555519  3.94801354]	[ 8.71555519  1.        ]	0.894349
4500	EXPLORATION	0.37497501	1	1.0	[ 15.94062233  18.04141808]	[ 15.9095367   18.04141808]	0.137018
5000	EXPLORATION	0.34998001	1	1.0	[ 10.96420002  12.4176569 ]	[ 12.72937379  12.4176569 ]	0.0844629
5500	EXPLORATION	0.32498501	0	1.0	[ 21.02870941  21.73733902]	[ 21.02870941  21.8945097 ]	1.28083
6000	EXPLORATION	0.29999001	1	1.0	[ 20.18661118  19.86961937]	[ 19.9473094   19.86961937]	0.0258037
6500	EXPLORATION	0.27499501	0	1.0	[ 18.61220551  18.96054077]	[ 18.61220551  19.05359859]	0.0283732
7000	EXPLORATION	0.25000001	1	1.0	[ 21.0637989   21.11118889]	[ 21.0637989   20.98497124]	0.0299282
7500	EXPLORATION	0.22500501	0	1.0	[ 23.44577599  23.58880043]	[ 23.44577599  23.50507469]	0.0163198
8000	EXPLORATION	0.20001001	1	1.0	[ 19.95197678  19.66765594]	[ 19.83328686  19.66765594]	0.0197021
8500	EXPLORATION	0.17501501	1	1.0	[ 17.59025764  18.14855576]	[ 17.59025764  18.20502605]	1.78744
9000	EXPLORATION	0.15002001	0	1.0	[ 20.96258163  21.55019379]	[ 20.96258163  21.30174179]	0.96186
9500	EXPLORATION	0.12502501	0	1.0	[ 17.77006531  17.77957344]	[ 17.96882706  17.77957344]	0.0191234
10000	EXPLORATION	0.10003001	1	1.0	[ 17.13107872  17.52437401]	[ 17.38151684  17.52437401]	0.0236711
10500	EXPLORATION	0.07503501	1	1.0	[ 21.89108467  21.82921219]	[ 21.89108467  21.60305977]	2.1363
11000	EXPLORATION	0.05004001	1	1.0	[ 22.16846275  22.51389122]	[ 22.16846275  22.59796247]	2.72922
11500	EXPLORATION	0.02504501	1	1.0	[ 25.00265503  24.33258057]	[ 25.00265503  24.85665321]	0.0988947
12000	TRAINING	0.000100000000002	0	1.0	[ 21.25664711  20.45342255]	[ 21.25664711  20.33470917]	1.01321
12500	TRAINING	0.000100000000002	0	1.0	[ 22.24430084  22.34913635]	[ 22.24430084  22.27370481]	0.443892
13000	TRAINING	0.000100000000002	0	1.0	[ 19.35885048  19.20093918]	[ 19.35885048  19.2863349 ]	0.0800317
13500	TRAINING	0.000100000000002	0	1.0	[ 20.63953209  21.33142662]	[ 20.63953209  21.27432833]	0.28744
14000	TRAINING	0.000100000000002	0	1.0	[ 21.09650612  20.720438  ]	[ 21.19916191  20.720438  ]	0.0210054
14500	TRAINING	0.000100000000002	0	1.0	[ 13.91884613  13.66085243]	[ 14.17300549  13.66085243]	0.635199
15000	TRAINING	0.000100000000002	1	1.0	[ 26.01015854  26.03815651]	[ 25.46837444  26.03815651]	1.11033
15500	TRAINING	0.000100000000002	1	1.0	[ 22.29882622  22.36149788]	[ 22.35029182  22.36149788]	0.0378955
16000	TRAINING	0.000100000000002	0	1.0	[ 21.48105812  19.63421249]	[ 21.48105812  19.15933857]	1.01897
16500	TRAINING	0.000100000000002	0	1.0	[ 16.68704796  17.23054123]	[ 17.05635138  17.23054123]	0.108958
17000	TRAINING	0.000100000000002	1	1.0	[ 20.42598534  20.22342873]	[ 20.36988878  20.22342873]	0.711316
17500	TRAINING	0.000100000000002	1	1.0	[ 19.10876846  18.5184269 ]	[ 18.94786043  18.5184269 ]	0.0664749
18000	TRAINING	0.000100000000002	0	1.0	[ 19.55023003  19.98288345]	[ 19.55023003  19.75225506]	0.0388563
18500	TRAINING	0.000100000000002	1	1.0	[ 20.64193344  20.48347092]	[ 20.53629751  20.48347092]	0.460205
19000	TRAINING	0.000100000000002	1	1.0	[ 19.33211327  19.77230263]	[ 19.33211327  19.74704018]	2.41869
19500	TRAINING	0.000100000000002	0	1.0	[ 19.46043396  19.97076416]	[ 19.46043396  19.93229351]	1.34839
20000	TRAINING	0.000100000000002	1	1.0	[ 19.10095215  19.46686935]	[ 19.10095215  19.42757883]	0.0280346
