EPISODE	TIME_STEPS_TAKEN	TOTAL_REWARD
0	13.0	13
1	10.0	10
2	9.0	9
3	17.0	17
4	10.0	10
5	18.0	18
6	11.0	11
7	12.0	12
8	12.0	12
9	12.0	12
10	13.0	13
11	10.0	10
12	9.0	9
13	16.0	16
14	11.0	11
15	13.0	13
16	11.0	11
17	13.0	13
18	13.0	13
19	13.0	13
20	11.0	11
21	10.0	10
22	10.0	10
23	10.0	10
24	16.0	16
25	10.0	10
26	13.0	13
27	10.0	10
28	10.0	10
29	9.0	9
30	31.0	31
31	13.0	13
32	11.0	11
33	19.0	19
34	15.0	15
35	10.0	10
36	22.0	22
37	13.0	13
38	15.0	15
39	11.0	11
40	15.0	15
41	9.0	9
42	12.0	12
43	13.0	13
44	11.0	11
45	12.0	12
46	19.0	19
47	10.0	10
48	25.0	25
49	18.0	18
50	12.0	12
51	9.0	9
52	9.0	9
53	10.0	10
54	16.0	16
55	13.0	13
56	14.0	14
57	8.0	8
58	10.0	10
59	21.0	21
60	13.0	13
61	9.0	9
62	20.0	20
63	18.0	18
64	12.0	12
65	9.0	9
66	14.0	14
67	15.0	15
68	14.0	14
69	12.0	12
70	8.0	8
71	20.0	20
72	13.0	13
73	9.0	9
74	15.0	15
75	30.0	30
76	9.0	9
77	11.0	11
78	9.0	9
79	12.0	12
80	12.0	12
81	13.0	13
82	10.0	10
83	20.0	20
84	15.0	15
85	12.0	12
86	12.0	12
87	9.0	9
88	9.0	9
89	11.0	11
90	13.0	13
91	14.0	14
92	11.0	11
93	12.0	12
94	9.0	9
95	8.0	8
96	15.0	15
97	10.0	10
98	9.0	9
99	15.0	15
100	9.0	9
101	14.0	14
102	14.0	14
103	9.0	9
104	11.0	11
105	17.0	17
106	16.0	16
107	11.0	11
108	16.0	16
109	19.0	19
110	11.0	11
111	13.0	13
112	11.0	11
113	13.0	13
114	28.0	28
115	13.0	13
116	10.0	10
117	8.0	8
118	15.0	15
119	9.0	9
120	11.0	11
121	13.0	13
122	12.0	12
123	13.0	13
124	18.0	18
125	13.0	13
126	9.0	9
127	10.0	10
128	11.0	11
129	9.0	9
130	10.0	10
131	11.0	11
132	11.0	11
133	12.0	12
134	12.0	12
135	13.0	13
136	13.0	13
137	9.0	9
138	10.0	10
139	10.0	10
140	15.0	15
141	13.0	13
142	14.0	14
143	8.0	8
144	13.0	13
145	8.0	8
146	11.0	11
147	8.0	8
148	10.0	10
149	9.0	9
150	13.0	13
151	11.0	11
152	12.0	12
153	9.0	9
154	11.0	11
155	14.0	14
156	31.0	31
157	12.0	12
158	20.0	20
159	15.0	15
160	11.0	11
161	12.0	12
162	12.0	12
163	13.0	13
164	12.0	12
165	12.0	12
166	14.0	14
167	15.0	15
168	9.0	9
169	17.0	17
170	11.0	11
171	11.0	11
172	9.0	9
173	8.0	8
174	13.0	13
175	10.0	10
176	11.0	11
177	14.0	14
178	10.0	10
179	8.0	8
180	15.0	15
181	13.0	13
182	15.0	15
183	19.0	19
184	10.0	10
185	11.0	11
186	10.0	10
187	10.0	10
188	12.0	12
189	12.0	12
190	12.0	12
191	13.0	13
192	11.0	11
193	8.0	8
194	9.0	9
195	16.0	16
