EPISODE	TIME_STEPS_TAKEN	TOTAL_REWARD
0	10	10.0
1	13	13.0
2	13	13.0
3	11	11.0
4	14	14.0
5	18	18.0
6	13	13.0
7	28	28.0
8	10	10.0
9	13	13.0
10	9	9.0
11	17	17.0
12	32	32.0
13	29	29.0
14	10	10.0
15	20	20.0
16	31	31.0
17	32	32.0
18	26	26.0
19	16	16.0
20	10	10.0
21	12	12.0
22	19	19.0
23	11	11.0
24	35	35.0
25	19	19.0
26	10	10.0
27	58	58.0
28	12	12.0
29	24	24.0
30	24	24.0
31	43	43.0
32	55	55.0
33	16	16.0
34	16	16.0
35	16	16.0
36	65	65.0
37	22	22.0
38	23	23.0
39	66	66.0
40	72	72.0
41	39	39.0
42	51	51.0
43	55	55.0
44	49	49.0
45	39	39.0
46	56	56.0
47	21	21.0
48	30	30.0
49	49	49.0
50	38	38.0
51	28	28.0
52	16	16.0
53	40	40.0
54	95	95.0
55	56	56.0
56	54	54.0
57	47	47.0
58	65	65.0
59	47	47.0
60	57	57.0
61	17	17.0
62	112	112.0
63	64	64.0
64	69	69.0
65	55	55.0
66	34	34.0
67	48	48.0
68	25	25.0
69	29	29.0
70	69	69.0
71	74	74.0
72	79	79.0
73	90	90.0
74	34	34.0
75	36	36.0
76	24	24.0
77	88	88.0
78	59	59.0
79	83	83.0
80	77	77.0
81	75	75.0
82	54	54.0
83	83	83.0
84	153	153.0
85	81	81.0
86	88	88.0
87	61	61.0
88	48	48.0
89	69	69.0
90	54	54.0
91	72	72.0
92	65	65.0
93	141	141.0
94	121	121.0
95	15	15.0
96	157	157.0
97	69	69.0
98	136	136.0
99	93	93.0
100	148	148.0
101	95	95.0
102	147	147.0
103	167	167.0
104	49	49.0
105	169	169.0
106	57	57.0
107	166	166.0
108	141	141.0
109	200	200.0
110	200	200.0
111	133	133.0
112	200	200.0
113	143	143.0
114	163	163.0
115	152	152.0
116	61	61.0
117	200	200.0
118	125	125.0
119	168	168.0
120	24	24.0
121	200	200.0
122	200	200.0
123	200	200.0
124	200	200.0
125	188	188.0
126	200	200.0
127	200	200.0
128	100	100.0
129	183	183.0
130	161	161.0
131	200	200.0
132	88	88.0
133	109	109.0
134	183	183.0
135	175	175.0
136	200	200.0
137	200	200.0
138	200	200.0
139	200	200.0
140	200	200.0
141	123	123.0
142	150	150.0
143	132	132.0
144	200	200.0
145	42	42.0
146	129	129.0
147	143	143.0
148	118	118.0
149	185	185.0
150	200	200.0
151	169	169.0
152	110	110.0
153	113	113.0
154	192	192.0
155	175	175.0
156	126	126.0
157	172	172.0
158	111	111.0
159	170	170.0
160	191	191.0
161	131	131.0
162	200	200.0
163	152	152.0
164	80	80.0
165	153	153.0
166	161	161.0
167	149	149.0
168	162	162.0
169	200	200.0
170	191	191.0
171	200	200.0
172	188	188.0
173	200	200.0
174	193	193.0
175	200	200.0
176	200	200.0
177	200	200.0
178	200	200.0
179	200	200.0
180	200	200.0
181	200	200.0
182	200	200.0
183	169	169.0
184	200	200.0
185	200	200.0
186	122	122.0
187	200	200.0
188	200	200.0
189	200	200.0
190	200	200.0
191	200	200.0
192	200	200.0
193	200	200.0
194	200	200.0
195	200	200.0
196	200	200.0
197	200	200.0
198	185	185.0
199	200	200.0
200	200	200.0
201	200	200.0
202	200	200.0
203	200	200.0
204	200	200.0
205	200	200.0
206	200	200.0
207	200	200.0
208	200	200.0
209	200	200.0
210	198	198.0
211	178	178.0
212	200	200.0
213	200	200.0
214	200	200.0
215	200	200.0
216	200	200.0
217	200	200.0
218	200	200.0
219	200	200.0
220	200	200.0
221	163	163.0
222	200	200.0
223	195	195.0
224	200	200.0
225	145	145.0
226	200	200.0
227	200	200.0
228	196	196.0
229	200	200.0
230	200	200.0
231	200	200.0
232	186	186.0
233	200	200.0
234	200	200.0
235	200	200.0
236	200	200.0
237	200	200.0
238	200	200.0
239	200	200.0
240	172	172.0
241	200	200.0
242	200	200.0
243	200	200.0
244	200	200.0
245	200	200.0
246	200	200.0
247	200	200.0
248	200	200.0
249	200	200.0
250	200	200.0
251	200	200.0
252	200	200.0
253	200	200.0
254	200	200.0
255	200	200.0
256	200	200.0
257	200	200.0
258	200	200.0
259	200	200.0
260	200	200.0
261	200	200.0
262	200	200.0
263	200	200.0
264	200	200.0
265	200	200.0
266	200	200.0
267	200	200.0
268	200	200.0
269	200	200.0
270	176	176.0
271	200	200.0
272	165	165.0
273	133	133.0
274	200	200.0
275	164	164.0
276	169	169.0
277	146	146.0
278	144	144.0
279	152	152.0
280	154	154.0
281	101	101.0
282	130	130.0
283	106	106.0
284	115	115.0
285	118	118.0
286	119	119.0
287	174	174.0
288	91	91.0
289	168	168.0
290	190	190.0
291	145	145.0
292	155	155.0
293	200	200.0
294	162	162.0
295	200	200.0
296	200	200.0
297	175	175.0
298	200	200.0
299	192	192.0
300	183	183.0
301	200	200.0
302	200	200.0
303	196	196.0
304	200	200.0
305	200	200.0
306	200	200.0
307	200	200.0
308	200	200.0
309	200	200.0
