EPISODE	Loss
0	0.158885
100	0.0223108
200	-0.00833394
300	0.0018458
400	-0.00855571
500	-0.00830856
600	-0.028683
700	0.0235883
800	-0.0258558
900	-0.0609007
1000	-0.000930243
1100	-0.00907418
1200	-0.0354719
1300	-0.0474615
1400	-0.00874654
1500	0.0155155
1600	0.00256938
1700	0.0162544
1800	-0.00895296
1900	-0.00521796
2000	-0.000456591
2100	-0.0130135
2200	0.0215321
2300	-0.0419772
2400	-0.0572228
2500	0.0149368
2600	-0.0200416
2700	-0.0167673
2800	-0.0312226
2900	-0.028016
3000	-0.0378505
3100	0.00616036
3200	0.00287911
3300	0.00558285
3400	0.00478385
3500	0.012587
3600	0.0276793
3700	-0.0228365
3800	0.020686
3900	0.0244752
4000	0.0184297
4100	-0.0114958
4200	0.00941616
4300	-0.00726983
4400	0.010178
4500	-0.0401569
4600	0.0065783
4700	0.0570216
4800	-0.0218469
4900	-0.0171475
