EPISODE	TIME_STEP_TOTAL	REWARD_TOTAL
0	12	12.0
1	17	17.0
2	13	13.0
3	12	12.0
4	12	12.0
5	17	17.0
6	31	31.0
7	17	17.0
8	22	22.0
9	17	17.0
10	13	13.0
11	14	14.0
12	16	16.0
13	25	25.0
14	17	17.0
15	11	11.0
16	22	22.0
17	14	14.0
18	11	11.0
19	19	19.0
20	21	21.0
21	24	24.0
22	16	16.0
23	16	16.0
24	21	21.0
25	16	16.0
26	10	10.0
27	46	46.0
28	33	33.0
29	11	11.0
30	16	16.0
31	20	20.0
32	19	19.0
33	12	12.0
34	51	51.0
35	11	11.0
36	28	28.0
37	42	42.0
38	14	14.0
39	17	17.0
40	14	14.0
41	55	55.0
42	29	29.0
43	44	44.0
44	13	13.0
45	13	13.0
46	15	15.0
47	14	14.0
48	10	10.0
49	24	24.0
50	54	54.0
51	11	11.0
52	13	13.0
53	12	12.0
54	35	35.0
55	13	13.0
56	10	10.0
57	18	18.0
58	10	10.0
59	12	12.0
60	19	19.0
61	35	35.0
62	21	21.0
63	41	41.0
64	25	25.0
65	22	22.0
66	52	52.0
67	28	28.0
68	17	17.0
69	17	17.0
70	23	23.0
71	12	12.0
72	10	10.0
73	40	40.0
74	14	14.0
75	55	55.0
76	17	17.0
77	17	17.0
78	27	27.0
79	13	13.0
80	16	16.0
81	21	21.0
82	14	14.0
83	16	16.0
84	14	14.0
85	28	28.0
86	10	10.0
87	11	11.0
88	11	11.0
89	11	11.0
90	19	19.0
91	20	20.0
92	24	24.0
93	9	9.0
94	16	16.0
95	17	17.0
96	59	59.0
97	44	44.0
98	35	35.0
99	21	21.0
100	14	14.0
101	15	15.0
102	15	15.0
103	54	54.0
104	28	28.0
105	9	9.0
106	15	15.0
107	26	26.0
108	12	12.0
109	9	9.0
110	40	40.0
111	20	20.0
112	13	13.0
113	18	18.0
114	13	13.0
115	12	12.0
116	12	12.0
117	16	16.0
118	25	25.0
119	12	12.0
120	20	20.0
121	19	19.0
122	35	35.0
123	34	34.0
124	33	33.0
125	17	17.0
126	31	31.0
127	35	35.0
128	26	26.0
129	13	13.0
130	19	19.0
131	10	10.0
132	16	16.0
133	10	10.0
134	14	14.0
135	35	35.0
136	25	25.0
137	13	13.0
138	17	17.0
139	28	28.0
140	36	36.0
141	45	45.0
142	19	19.0
143	24	24.0
144	14	14.0
145	16	16.0
146	38	38.0
147	17	17.0
148	14	14.0
149	9	9.0
150	50	50.0
151	11	11.0
152	49	49.0
153	17	17.0
154	32	32.0
155	20	20.0
156	19	19.0
157	16	16.0
158	13	13.0
159	16	16.0
160	17	17.0
161	14	14.0
162	12	12.0
163	14	14.0
164	24	24.0
165	24	24.0
166	36	36.0
167	12	12.0
168	20	20.0
169	16	16.0
170	39	39.0
171	13	13.0
172	15	15.0
173	11	11.0
174	14	14.0
175	37	37.0
176	11	11.0
177	16	16.0
178	11	11.0
179	24	24.0
180	11	11.0
181	9	9.0
182	33	33.0
183	13	13.0
184	26	26.0
185	15	15.0
186	13	13.0
187	19	19.0
188	21	21.0
189	19	19.0
190	23	23.0
191	16	16.0
192	18	18.0
193	31	31.0
194	10	10.0
195	17	17.0
196	38	38.0
197	36	36.0
198	31	31.0
199	16	16.0
200	15	15.0
201	17	17.0
202	13	13.0
203	24	24.0
204	33	33.0
205	37	37.0
206	37	37.0
207	18	18.0
208	26	26.0
209	17	17.0
210	88	88.0
211	25	25.0
212	9	9.0
213	19	19.0
214	16	16.0
215	18	18.0
216	27	27.0
217	19	19.0
218	34	34.0
219	45	45.0
220	41	41.0
221	25	25.0
222	62	62.0
223	20	20.0
224	38	38.0
225	17	17.0
226	20	20.0
227	14	14.0
228	16	16.0
229	43	43.0
230	13	13.0
231	12	12.0
232	24	24.0
233	27	27.0
234	38	38.0
235	13	13.0
236	31	31.0
237	21	21.0
238	30	30.0
239	46	46.0
240	19	19.0
241	31	31.0
242	20	20.0
243	20	20.0
244	18	18.0
245	10	10.0
246	30	30.0
247	15	15.0
248	16	16.0
249	29	29.0
250	20	20.0
251	29	29.0
252	15	15.0
253	19	19.0
254	10	10.0
255	31	31.0
256	22	22.0
257	30	30.0
258	13	13.0
259	51	51.0
260	37	37.0
261	29	29.0
262	11	11.0
263	49	49.0
264	15	15.0
265	10	10.0
266	29	29.0
267	21	21.0
268	16	16.0
269	14	14.0
270	42	42.0
271	22	22.0
272	52	52.0
273	28	28.0
274	16	16.0
275	12	12.0
276	29	29.0
277	16	16.0
278	50	50.0
279	30	30.0
280	40	40.0
281	14	14.0
282	10	10.0
283	19	19.0
284	14	14.0
285	44	44.0
286	29	29.0
287	13	13.0
288	28	28.0
289	12	12.0
290	57	57.0
291	58	58.0
292	18	18.0
293	22	22.0
294	13	13.0
295	26	26.0
296	41	41.0
297	18	18.0
298	21	21.0
299	41	41.0
300	15	15.0
301	13	13.0
302	40	40.0
303	27	27.0
304	29	29.0
305	58	58.0
306	33	33.0
307	31	31.0
308	15	15.0
309	50	50.0
310	34	34.0
311	18	18.0
312	30	30.0
313	19	19.0
314	24	24.0
315	62	62.0
316	57	57.0
317	19	19.0
318	10	10.0
319	15	15.0
320	19	19.0
321	33	33.0
322	83	83.0
323	13	13.0
324	59	59.0
325	31	31.0
326	53	53.0
327	43	43.0
328	30	30.0
329	25	25.0
330	27	27.0
331	93	93.0
332	11	11.0
333	16	16.0
334	39	39.0
335	20	20.0
336	10	10.0
337	17	17.0
338	44	44.0
339	34	34.0
340	46	46.0
341	67	67.0
342	37	37.0
343	109	109.0
344	23	23.0
345	25	25.0
346	17	17.0
347	35	35.0
348	20	20.0
349	10	10.0
350	28	28.0
351	31	31.0
352	57	57.0
353	40	40.0
354	14	14.0
355	71	71.0
356	19	19.0
357	16	16.0
358	92	92.0
359	16	16.0
360	12	12.0
361	29	29.0
362	41	41.0
363	42	42.0
364	24	24.0
365	50	50.0
366	29	29.0
367	34	34.0
368	72	72.0
369	18	18.0
370	12	12.0
371	53	53.0
372	18	18.0
373	54	54.0
374	19	19.0
375	104	104.0
376	45	45.0
377	28	28.0
378	14	14.0
379	35	35.0
380	22	22.0
381	19	19.0
382	65	65.0
383	12	12.0
384	17	17.0
385	69	69.0
386	33	33.0
387	32	32.0
388	19	19.0
389	56	56.0
390	16	16.0
391	45	45.0
392	35	35.0
393	54	54.0
394	28	28.0
395	54	54.0
396	11	11.0
397	54	54.0
398	28	28.0
399	16	16.0
400	18	18.0
401	52	52.0
402	11	11.0
403	32	32.0
404	14	14.0
405	48	48.0
406	30	30.0
407	30	30.0
408	40	40.0
409	15	15.0
410	64	64.0
411	20	20.0
412	59	59.0
413	18	18.0
414	54	54.0
415	16	16.0
416	16	16.0
417	10	10.0
418	86	86.0
419	26	26.0
420	143	143.0
421	13	13.0
422	48	48.0
423	58	58.0
424	16	16.0
425	48	48.0
426	19	19.0
427	40	40.0
428	62	62.0
429	40	40.0
430	36	36.0
431	16	16.0
432	28	28.0
433	39	39.0
434	19	19.0
435	21	21.0
436	21	21.0
437	17	17.0
438	18	18.0
439	22	22.0
440	10	10.0
441	41	41.0
442	66	66.0
443	54	54.0
444	91	91.0
445	49	49.0
446	28	28.0
447	59	59.0
448	16	16.0
449	17	17.0
450	112	112.0
451	15	15.0
452	79	79.0
453	39	39.0
454	58	58.0
455	28	28.0
456	20	20.0
457	62	62.0
458	47	47.0
459	33	33.0
460	33	33.0
461	38	38.0
462	55	55.0
463	35	35.0
464	90	90.0
465	16	16.0
466	78	78.0
467	14	14.0
468	30	30.0
469	41	41.0
470	45	45.0
471	76	76.0
472	105	105.0
473	30	30.0
474	70	70.0
475	49	49.0
476	21	21.0
477	50	50.0
478	77	77.0
479	23	23.0
480	97	97.0
481	23	23.0
482	78	78.0
483	15	15.0
484	128	128.0
485	31	31.0
486	56	56.0
487	46	46.0
488	43	43.0
489	51	51.0
490	43	43.0
491	42	42.0
492	25	25.0
493	57	57.0
494	24	24.0
495	31	31.0
496	51	51.0
497	100	100.0
498	39	39.0
499	55	55.0
500	116	116.0
501	70	70.0
502	18	18.0
503	83	83.0
504	46	46.0
505	56	56.0
506	81	81.0
507	17	17.0
508	32	32.0
509	23	23.0
510	60	60.0
511	34	34.0
512	25	25.0
513	19	19.0
514	31	31.0
515	43	43.0
516	96	96.0
517	30	30.0
518	150	150.0
519	30	30.0
520	64	64.0
521	53	53.0
522	102	102.0
523	47	47.0
524	84	84.0
525	58	58.0
526	67	67.0
527	86	86.0
528	48	48.0
529	41	41.0
530	96	96.0
531	32	32.0
532	42	42.0
533	26	26.0
534	22	22.0
535	47	47.0
536	29	29.0
537	42	42.0
538	19	19.0
539	19	19.0
540	66	66.0
541	43	43.0
542	42	42.0
543	27	27.0
544	75	75.0
545	44	44.0
546	42	42.0
547	70	70.0
548	24	24.0
549	62	62.0
550	50	50.0
