EPISODE	TIME_STEP_TOTAL	TRAIN_LOSS_ACTOR	TRAIN_LOSS_CRITIC
0	11	[ 0.24940005]	0.338657
100	2029	[ 7.52466297]	108.165
200	4028	[ 2.02204561]	3.53728
300	6530	[ 3.04924345]	20.9046
400	9923	[ 2.12434244]	30.362
500	14239	[ 7.66766787]	22.0491
600	19533	[ 2.85809612]	19.0174
700	24876	[ 1.84514129]	5.97863
800	35705	[ 5.62183332]	206.574
900	50043	[ 12.75569439]	36.8665
1000	65192	[ 2.18082428]	21.2484
1100	81028	[ 2.73057103]	106.487
1200	91173	[ 8.0494175]	167.571
1300	103791	[ 1.95380747]	228.231
1400	116674	[ 5.576437]	55.5362
1500	130339	[ 0.27307793]	84.2435
1600	145815	[ 0.87056512]	271.121
1700	165647	[ 10.59868813]	340.064
1800	185547	[ 0.58053446]	151.534
1900	201971	[ 0.96015412]	28.3026
2000	220811	[ 1.07122171]	355.324
2100	236543	[ 5.53822947]	24.2106
2200	246007	[ 0.03616913]	0.157216
2300	251078	[ 0.08944317]	22.8526
2400	255697	[ 0.05403335]	1.16688
2500	259572	[ 0.19053605]	9.78547
2600	263835	[ 0.24615538]	51.4196
2700	273081	[ 0.01726946]	10.0408
2800	278330	[ 0.10982673]	16.1779
2900	281930	[ 8.74758339]	24.7436
3000	291527	[ 26.15213966]	210.489
3100	294557	[ 0.38453344]	1.64177
3200	297219	[ 0.11396185]	4.91641
3300	299785	[ 0.51335764]	0.103702
3400	302438	[ 0.00771008]	2.49188
3500	305025	[ 0.3823379]	12.4333
3600	312963	[ 0.9556573]	18.8538
3700	329542	[ 2.65139055]	154.473
3800	349442	[ 6.46390867]	201.347
3900	369342	[ 0.33070615]	70.1904
4000	389242	[ 2.68475103]	107.068
4100	408432	[ 14.23379421]	98.7202
4200	425990	[ 2.71302533]	43.4798
4300	441684	[ 3.51992035]	0.876174
4400	452174	[ 0.10639491]	12.7354
4500	464470	[ 0.85025942]	27.4518
4600	478026	[ 0.6776346]	154.754
4700	497926	[ 0.42555338]	229.316
4800	517826	[ 0.83123517]	276.714
4900	537726	[ 13.41947079]	246.545
