EPISODE	Loss
0	0.00299797
100	-0.061892
200	-0.0521025
300	-0.0174128
400	-0.19973
500	-0.0247532
600	-0.172203
700	-0.261142
800	-0.279082
900	0.188664
1000	-0.113968
1100	-0.251804
1200	-0.105563
1300	-0.23757
1400	-0.284963
1500	-0.177709
1600	-0.233419
1700	0.0726102
1800	-0.222474
1900	0.0666222
2000	0.00585297
2100	-0.211335
2200	0.171115
2300	-0.225152
2400	-0.192415
2500	0.0180807
2600	-0.214869
2700	-0.0709851
2800	0.185068
2900	-0.140885
3000	-0.131936
3100	-0.0673888
3200	-0.137109
3300	0.108094
3400	-0.100664
3500	-0.0143996
3600	-0.155854
3700	-0.264932
3800	0.0582879
3900	-0.221189
4000	0.01582
4100	0.00942898
4200	-0.221758
4300	-0.170287
4400	-0.246239
4500	-0.105569
4600	-0.0229935
4700	-0.0418805
4800	-0.0934389
4900	-0.101104
